"path","views","active_users","views_per_user","avg_engagement","event_count","key_events","revenue"
"/","47","32","1.47","4s","164","0","$0.00 (–)"
"/guides/sauna-foundation-guide/","28","22","1.27","1m 02s","98","0","$0.00 (–)"
"/guides/best-portable-sauna/","13","11","1.18","25s","47","0","$0.00 (–)"
"/best-saunas/","10","8","1.25","57s","25","0","$0.00 (–)"
"/brands/finnleo-sauna-review/","10","10","1","31s","37","0","$0.00 (–)"
"/guides/best-sauna-for-deck/","10","4","2.5","7s","24","0","$0.00 (–)"
"/guides/sauna-wood/","10","10","1","32s","42","0","$0.00 (–)"
"/brands/dundalk-leisurecraft-review/","8","6","1.33","58s","31","0","$0.00 (–)"
"/guides/outdoor-sauna-permits/","8","8","1","21s","27","0","$0.00 (–)"
"/brands/redwood-outdoors-sauna-review/","7","6","1.17","40s","25","0","$0.00 (–)"
"/guides/best-1-person-sauna/","7","4","1.75","52s","24","0","$0.00 (–)"
"/guides/sauna-for-hangover/","7","5","1.4","47s","21","0","$0.00 (–)"
"/brands/harvia-sauna-heater-review/","6","6","1","8s","20","0","$0.00 (–)"
"/guides/best-4-person-outdoor-sauna/","6","5","1.2","51s","22","0","$0.00 (–)"
"/guides/best-saunas-under-3000/","6","6","1","43s","36","0","$0.00 (–)"
"/guides/how-to-build-a-sauna/","6","5","1.2","2m 05s","18","0","$0.00 (–)"
"/guides/outdoor-sauna-cost/","6","5","1.2","32s","22","0","$0.00 (–)"
"/brands/dynamic-saunas-review/","5","5","1","20s","18","0","$0.00 (–)"
"/guides/","5","4","1.25","21s","15","0","$0.00 (–)"
"/guides/best-2-person-outdoor-sauna/","5","5","1","9s","21","0","$0.00 (–)"
"/guides/best-indoor-sauna-kits/","5","5","1","9s","21","0","$0.00 (–)"
"/guides/best-sauna-heater/","5","5","1","0s","15","0","$0.00 (–)"
"/guides/sauna-before-or-after-workout/","5","4","1.25","0s","15","0","$0.00 (–)"
"/guides/sauna-door-guide/","5","4","1.25","18s","17","0","$0.00 (–)"
"/guides/sauna-electrical-requirements/","5","4","1.25","43s","19","0","$0.00 (–)"
"/guides/sauna-tent/","5","3","1.67","31s","14","0","$0.00 (–)"
"/guides/barrel-sauna-costco/","4","4","1","16s","14","0","$0.00 (–)"
"/guides/best-sauna-lighting/","4","4","1","0s","12","0","$0.00 (–)"
"/guides/best-sauna-stones/","4","4","1","36s","16","0","$0.00 (–)"
"/guides/contacts-in-sauna/","4","4","1","16s","13","0","$0.00 (–)"
"/guides/headphones-in-sauna/","4","4","1","9s","14","0","$0.00 (–)"
"/guides/outdoor-sauna-ideas/","4","4","1","4s","13","0","$0.00 (–)"
"/guides/sauna-heater-sizing-guide/","4","4","1","47s","11","0","$0.00 (–)"
