"URL","Current clicks","Previous clicks","Click change","Current impressions","Previous impressions","Impression change","Current CTR","Previous CTR","Current position","Previous position","Recommended action","Notes"
"https://backyardsaunapro.com/guides/best-2-person-outdoor-sauna/","0","0","0","508","337","171","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/best-home-sauna/","0","0","0","329","217","112","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/best-portable-sauna/","0","0","0","231","200","31","0.0000","0.0000","","","Monitor revised page indexing and engagement",""
"https://backyardsaunapro.com/guides/best-indoor-sauna-kits/","0","0","0","216","796","-580","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/","0","0","0","112","91","21","0.0000","0.0000","","","Await analytics data",""
"https://backyardsaunapro.com/guides/outdoor-vs-indoor-sauna/","0","0","0","61","8","53","0.0000","0.0000","","","Monitor revised page indexing and engagement",""
"https://backyardsaunapro.com/guides/best-sauna-backrest/","0","0","0","57","84","-27","0.0000","0.0000","","","Monitor revised page indexing and engagement",""
"https://backyardsaunapro.com/brands/huum-sauna-heater-review/","0","0","0","47","36","11","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/reviews/","0","0","0","40","14","26","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/cedar-vs-hemlock-sauna/","0","0","0","30","0","30","0.0000","","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/best-sauna-thermometer-hygrometer/","0","0","0","19","0","19","0.0000","","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/affiliate-disclosure/","0","0","0","13","0","13","0.0000","","","","Await analytics data",""
"https://backyardsaunapro.com/brands/redwood-outdoors-sauna-review/","0","0","0","13","7","6","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/how-to-assemble-barrel-sauna/","0","0","0","8","0","8","0.0000","","","","Await analytics data",""
"https://backyardsaunapro.com/guides/","0","0","0","7","4","3","0.0000","0.0000","","","Await analytics data",""
"https://backyardsaunapro.com/reviews/dynamic-saunas-barcelona-review/","0","0","0","7","2","5","0.0000","0.0000","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/best-saunas-under-5000/","0","0","0","7","0","7","0.0000","","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/brands/harvia-sauna-heater-review/","0","0","0","6","0","6","0.0000","","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/sauna-privacy-screen/","0","0","0","5","0","5","0.0000","","","","Await analytics data",""
"https://backyardsaunapro.com/guides/sauna-during-pregnancy/","0","0","0","5","2","3","0.0000","0.0000","","","Primary-source medical review",""
"https://backyardsaunapro.com/guides/sauna-gift-ideas/","0","0","0","3","5","-2","0.0000","0.0000","","","Await analytics data",""
"https://backyardsaunapro.com/guides/infrared-vs-traditional-sauna/","0","0","0","2","0","2","0.0000","","","","Validate products, methodology, CTA, and traffic",""
"https://backyardsaunapro.com/guides/sauna-for-back-pain/","0","0","0","1","3","-2","0.0000","0.0000","","","Monitor revised page indexing and engagement",""
"https://backyardsaunapro.com/guides/best-location-backyard-sauna/","0","0","0","0","1","-1","","0.0000","","","Monitor revised page indexing and engagement",""
