"Query","Current clicks","Previous clicks","Click change","Current impressions","Previous impressions","Impression change","Current CTR","Previous CTR","Current position","Previous position","Landing page","Intent","Notes"
"2 person outdoor sauna","0","0","0","116","78","38","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"backyard sauna","0","0","0","80","53","27","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"two person outdoor sauna","0","0","0","68","45","23","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"outdoor vs indoor sauna","0","0","0","51","8","43","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"best portable infrared sauna","0","0","0","41","1","40","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"best portable saunas","0","0","0","40","14","26","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"best home sauna","0","0","0","37","52","-15","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"huum sauna heater review","0","0","0","29","30","-1","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"outdoor infrared sauna 2 person","0","0","0","29","29","0","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"best portable sauna","0","0","0","28","20","8","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"i want to buy an indoor sauna, any recommendations?","0","0","0","27","27","0","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"2 person saunas","0","0","0","27","5","22","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"2 person outdoor traditional sauna","0","0","0","27","21","6","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"outdoor sauna 2 person","0","0","0","26","21","5","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"best sauna kits","0","0","0","26","36","-10","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"home sauna","0","0","0","25","2","23","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"home sauna best","0","0","0","23","3","20","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"best sauna for home","0","0","0","22","9","13","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"2 person sauna outdoor","0","0","0","20","7","13","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"best 2 person sauna","0","0","0","18","17","1","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"best home saunas","0","0","0","18","23","-5","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"home sauna indoor","0","0","0","17","64","-47","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"best home sauna brands","0","0","0","16","3","13","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
"sauna backrest","0","0","0","15","23","-8","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"sauna backrests","0","0","0","15","21","-6","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"outdoor 2 person sauna","0","0","0","15","2","13","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"outdoor two person sauna","0","0","0","14","13","1","0.0000","0.0000","","","","Informational","Position and landing-page dimensions were not included in the available comparison export"
"best portable sauna 2025","0","0","0","12","8","4","0.0000","0.0000","","","","Commercial investigation","Position and landing-page dimensions were not included in the available comparison export"
